Epoch,lr_0.001,lr_0.01,lr_0.1,lr_1.0,lr_10.0,lr_100.0
0,4.868336702839931,1.9327783138360544,0.18136110062797856,0.05570709117420238,0.19438182200005472,29.142092583205887
1,4.018218413475808,1.1793828969658464,0.1132153441688522,0.02318969327136775,0.022585072826960033,30.22142934554685
2,3.453949489390417,0.8878150900345743,0.08702003189066969,0.009865749948871915,0.024091180783103343,31.30076610788781
3,3.0667318583067296,0.7310171009861317,0.0716215571559655,0.008005541042626432,0.019490425188249484,31.30076610788781
4,2.776212146841298,0.6343134476143695,0.06099465715683795,0.007642599832043243,0.1598086852069331,26.98341905852397
5,2.5432484658951333,0.5686929741181648,0.05447284359286894,0.008948095029576185,0.0174882224884116,28.06275582086493
6,2.35053160765651,0.5213296029275758,0.05104252548682396,0.010390918755620076,0.1586598021348681,28.06275582086493
7,2.1886773153527788,0.48582625338943497,0.04978649113411429,0.009131198268173608,0.09799167310070211,29.14209258320589
8,2.0512431748353483,0.4583376509636757,0.04996490701304662,0.006717272058071056,0.05183762976834333,30.22142934554685
9,1.93317494389921,0.4362976215744043,0.050920530347702164,0.0050583014646834725,0.1946719112850847,30.22142934554685
10,1.8304338098054838,0.4180097514002067,0.052171185668034685,0.0041070767938464715,0.14540431363478595,30.22142934554685
11,1.739911938601596,0.4023966824415701,0.053446354736007916,0.0035297233258806382,0.1787181771875625,29.142092583205887
12,1.6593002157051635,0.38877230807604984,0.054651280123560235,0.003070906900632509,0.003269071519662957,26.985135015494905
13,1.586888521492241,0.37667302590335533,0.05576235024764534,0.002701200729054421,0.03329995753503545,31.300766107887807
14,1.5213811640581962,0.3657641129534184,0.05676436844990145,0.0024015354901888216,0.18691867603819418,29.142092583205887
15,1.4617639406151977,0.3557995206214085,0.05764925985798313,0.002179191046559971,0.06726079250806023,31.300766107887807
16,1.4072185086343896,0.3466035733597119,0.0584242051817436,0.0019848026513852256,0.005849346417503187,31.30076610788781
17,1.3570700639901478,0.3380561308869928,0.059105192144968066,0.001669444510861237,0.004351358717364939,31.300766107887807
18,1.310755446096105,0.3300767691445217,0.059705562174688434,0.001361507847279027,0.003965112446209059,31.30076610788781
19,1.2678019233070392,0.3226095075024699,0.060231865377688286,0.0011058164699417061,0.0028252628732175562,32.38010287022877
20,1.227811377421545,0.31561048492874216,0.06068502186960889,0.0008857393119362878,0.0011913929168899868,29.142092583205887
21,1.1904478811580872,0.30903986074298845,0.061061941323600454,0.0007144819939914069,0.003229660636941772,31.30076610788781
22,1.1554276633139344,0.302857754435199,0.06135646221970888,0.0005962423048007624,0.0016776761405373603,29.431984538160798
23,1.1225105892847405,0.2970231234591113,0.061559959085815845,0.0005032829780523222,0.005392935900181456,31.300766107887807
24,1.0914926448721958,0.2914943095836201,0.06166170932965029,0.00043873669761674097,0.003806581609069737,29.98445088330931
25,1.0621993818422282,0.28623027241987903,0.061649240986356726,0.0004002958483674469,0.0032944220909811206,31.30076610788781
26,1.0344804422741651,0.2811919083030741,0.06150916750436212,0.000379025434227744,0.012733310377105228,32.38010287022877
27,1.0082051645886267,0.2763431465884009,0.061228610579435724,0.0003683050284700669,0.001610732269251249,28.06275582086493
28,0.9832591275122553,0.27165170106284053,0.06079679063734201,0.00036370603676027255,0.017023244692665383,31.300766107887807
29,0.9595414250962688,0.26708946099170816,0.06020638959452965,0.0003602373545245447,0.0028526424842855265,30.22142934554685
30,0.936962483065952,0.26263256514530875,0.059454563685428945,0.0003565253940027395,0.004937982118437869,30.29113793971777
31,0.915442279915235,0.25826123220222486,0.05854351165087834,0.0003525020247645953,0.006003901304244025,31.300766107887807
32,0.8949088859684585,0.2539594311676108,0.05748036251494898,0.0003481088727800643,0.015011310155096701,29.142034687963964
33,0.875297263966733,0.24971447046421824,0.056276302332254155,0.0003432866049835144,0.16610572790307943,31.30076610788779
34,0.8565482883271549,0.24551656881330747,0.05494530068386868,0.0003380225530246764,0.04102048257069732,31.300765918467597
35,0.8386079457727051,0.24135845056346886,0.05350298650312321,0.00033235042735532336,0.0009792427653144632,29.14209258320589
36,0.8214266838269944,0.23723498803082482,0.05196593205933345,0.00032633271364348635,0.0014507050181579917,31.30076610788781
37,0.8049588780008685,0.23314289718047188,0.05035122355944734,0.00032004319344871185,0.006614275125091701,28.06275582086493
38,0.7891623932808121,0.22908048195449487,0.04867611902879852,0.0003135543575608647,0.010805687294186178,29.816712201847597
39,0.7739982200699725,0.22504741653082128,0.04695773059067527,0.0003069299413525214,0.013597150757541063,31.040967748458236
40,0.759430168612791,0.2210445528557476,0.04521276571502714,0.00030022194564638513,0.00041780897100888656,28.86714860983448
41,0.7454246091354881,0.21707374183635003,0.04345734129211816,0.0002934716297403662,0.0017006627179741987,28.06275582086493
42,0.7319502476326373,0.21313765954135402,0.041706806732149646,0.0002867142225236797,0.01176208999514402,29.14209258320589
43,0.7189779295758449,0.2092396336420065,0.03997548656760673,0.0002799870158369905,0.00033535911575740174,27.867353220176774
44,0.7064804658508236,0.20538346924039486,0.038276337424256096,0.0002733390253087844,0.005818152939073227,29.14209258320589
45,0.6944324768946253,0.20157327648472156,0.03662063950242232,0.000266836294609886,0.0820446055199137,30.22142298616945
46,0.6828102522492148,0.197813304529912,0.03501785510571326,0.000260553099637887,0.21456511798649514,29.14209258320589
47,0.6715916235679806,0.19410778732938772,0.03347564821397724,0.00025454730086542615,0.10523083875475724,29.233722385614062
48,0.6607558495733583,0.19046080655175845,0.03199994474044338,0.0002488391133737714,0.060901049464214686,31.30076610788781
49,0.6502835116759468,0.18687617587933075,0.030594956698715467,0.0002434133461436486,0.005928788367007625,29.14209258320589
